tax_rate_class,n_damaged_parcels,n_parcels_with_any_permit,n_parcels_with_fire_permit,total_fire_permits,total_assessed_value,total_fire_permit_value,avg_fire_permits_per_parcel,share_with_any_permit,share_with_fire_permit,rebuilding_ratio
agricultural,3,2,2,5,1726000,2899500,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6798957126303593
apartment,6,0,0,0,48882300,0,0,0,0,0
commercial,32,2,2,2,72704100,2550000,0.0625,0.0625,0.0625,0.035073675349808334
commercialized-res,5,3,3,4,4367600,3697700,0.8,0.6,0.6,0.8466205696492353
conservation,1,0,0,0,27300,0,0,0,0,0
hotel/resort,3,0,0,0,253549200,0,0,0,0,0
industrial,17,1,1,2,23946500,480000,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.020044682939051636
long-term-rental,43,11,11,16,14943400,8546144,0.37209302325581395,0.2558139534883721,0.2558139534883721,0.5719009060856298
non-owner-occupied,263,79,78,118,456872800,74882306,0.44866920152091255,0.30038022813688214,0.2965779467680608,0.16390186940435061
owner-occupied,544,208,208,244,162724000,111991592,0.4485294117647059,0.38235294117647056,0.38235294117647056,0.6882303286546545
tvr-strh,101,2,2,3,40504800,800000,0.0297029702970297,0.019801980198019802,0.019801980198019802,0.019750745590646046
NA,2,1,1,1,0,650000,0.5,0.5,0.5,NA
